Country of Birth,Type of Attendance,,Gender,,,,TOTAL
Slovenia,31,38,34,35,,,69
"South Eastern Europe, nfd",46,33,38,41,,,79
Spain,175,157,150,182,,,332
Ukraine,306,255,206,355,,,561
Countries with fewer than 20 students,12,9,9,12,,,21
North Africa and the Middle East,,,,,,,
Algeria,23,24,23,24,,,47
Bahrain,108,54,81,81,,,162
Egypt,881,656,877,660,,,"1,537"
Gaza Strip and West Bank,23,8,18,13,,,31
Iran,"2,789","1,669","2,086","2,372",,,"4,458"
Iraq,"2,258",989,"1,426","1,821",,,"3,247"
Israel,403,212,279,336,,,615
Jordan,355,157,259,253,,,512
Kuwait,285,173,246,212,,,458
Lebanon,898,627,700,825,,,"1,525"
Libya,88,58,81,65,,,146
Morocco,30,28,28,30,,,58
Oman,167,37,93,111,,,204
Qatar,59,17,50,26,,,76
Saudi Arabia,577,222,381,418,,,799
South Sudan,575,386,671,290,,,961
Sudan,"1,407",940,"1,357",990,,,"2,347"
Syria,242,146,195,193,,,388
Turkey,619,347,412,554,,,966
United Arab Emirates,649,211,434,426,,,860
Yemen,35,15,27,23,,,50
Countries with fewer than 20 students,17,16,19,14,,,33
South-East Asia,,,,,,,
Brunei Darussalam,169,66,113,122,,,235
Burma (Myanmar),587,346,382,551,,,933
Cambodia,397,180,274,303,,,577
East Timor,63,65,50,78,,,128
Indonesia,"1,878",847,"1,305","1,420",,,"2,725"
Laos,39,36,29,46,,,75
Malaysia,"4,475","2,263","3,130","3,608",,,"6,738"
Philippines,"6,378","3,235","3,845","5,768",,,"9,613"
Singapore,"3,190","1,340","2,034","2,496",,,"4,530"
Thailand,"1,320",608,672,"1,256",,,"1,928"
Viet Nam,"2,267","1,389","1,592","2,064",,,"3,656"
Countries with fewer than 20 students,0,0,0,0,,,0
North-East Asia,,,,,,,
China (excludes SARs and Taiwan Province),"11,551","5,133","7,618","9,066",,,"16,684"
"Chinese Asia (includes Mongolia), nfd",26,11,17,20,,,37
Hong Kong (SAR of China),"3,784","1,915","2,894","2,805",,,"5,699"
Japan,"1,019",542,573,988,,,"1,561"
"Korea, Democratic People's Republic of (North)",10,19,17,12,,,29
"Korea, Republic of (South)","3,985","1,774","2,645","3,114",,,"5,759"
Macau (SAR of China),65,42,56,51,,,107
Mongolia,40,20,19,41,,,60
Taiwan,"1,342",677,962,"1,057",,,"2,019"
Countries with fewer than 20 students,<5,0,0,<5,,,<5
Southern and Central Asia,,,,,,,
Afghanistan,"2,132",841,"1,510","1,463",,,"2,973"
Armenia,22,16,18,20,,,38
Azerbaijan,20,13,15,18,,,33
Bangladesh,"1,423","1,055","1,331","1,147",,,"2,478"
Bhutan,82,33,77,38,,,115
Georgia,13,11,13,11,,,24
India,"10,279","6,356","8,056","8,579",,,"16,635"
Kazakhstan,60,49,35,74,,,109
Kyrgyz Republic,31,14,8,37,,,45
Maldives,23,25,16,32,,,48
Nepal,"1,799",848,"1,237","1,410",,,"2,647"
Pakistan,"2,164","1,178","1,868","1,474",,,"3,342"
Sri Lanka,"3,496","2,269","2,758","3,007",,,"5,765"
Uzbekistan,75,45,53,67,,,120
Countries with fewer than 20 students,np,7,6,np,,,np
Americas,,,,,,,
Argentina,238,192,166,264,,,430
Bermuda,25,10,13,22,,,35
Bolivia,31,27,29,29,,,58
Brazil,463,524,377,610,,,987
Canada,"1,578","1,263","1,094","1,747",,,"2,841"
Chile,401,402,318,485,,,803
Colombia,478,408,438,448,,,886
Costa Rica,16,8,7,17,,,24
Cuba,20,10,11,19,,,30
Ecuador,40,37,37,40,,,77
El Salvador,186,198,169,215,,,384
Guatemala,21,13,13,21,,,34
Jamaica,28,27,25,30,,,55
Mexico,139,89,103,125,,,228
Nicaragua,21,15,21,15,,,36
Paraguay,10,13,6,17,,,23
Peru,272,298,263,307,,,570
Trinidad and Tobago,29,38,21,46,,,67
United States of America,"3,524","1,995","2,499","3,020",,,"5,519"
Uruguay,62,97,46,113,,,159
Venezuela,129,119,121,127,,,248
Countries with fewer than 20 students,90,59,57,92,,,149
Sub-Saharan Africa,,,,,,,
Botswana,111,61,86,86,,,172
Burundi,139,58,121,76,,,197
Cameroon,28,19,22,25,,,47
Congo,73,42,57,58,,,115
"Congo, Democratic Republic of",386,145,301,230,,,531
Côte d'Ivoire,26,10,17,19,,,36
Eritrea,123,66,91,98,,,189
Ethiopia,510,238,373,375,,,748
Ghana,304,199,220,283,,,503
Guinea,55,16,29,42,,,71
Kenya,975,496,604,867,,,"1,471"
Liberia,210,151,188,173,,,361
Malawi,38,27,30,35,,,65
Mauritius,478,404,407,475,,,882
Mozambique,21,16,15,22,,,37
Namibia,65,34,44,55,,,99
Nigeria,583,396,477,502,,,979
Rwanda,72,41,58,55,,,113
Seychelles,58,34,36,56,,,92
Sierra Leone,317,218,254,281,,,535
Somalia,401,247,328,320,,,648
South Africa,"8,407","4,270","5,603","7,074",,,"12,677"
"Southern and East Africa, nec",76,31,40,67,,,107
Swaziland,13,11,8,16,,,24
Tanzania,131,80,102,109,,,211
Uganda,223,94,157,160,,,317
Zambia,199,251,183,267,,,450
Zimbabwe,"2,364","1,654","1,753","2,265",,,"4,018"
Countries with fewer than 20 students,105,65,85,85,,,170
No Information,,,,,,,
Overseas Country not known,593,474,543,524,,,"1,067"
No Information,"2,091","1,694","1,902","1,883",,,"3,785"
,,,,,,,
TOTAL,"702,646","363,427","447,721","618,352",,,"1,066,073"
Total 2015,"692,180","354,655","440,756","606,079",,,"1,046,835"
% change on 2015,1.50%,2.50%,1.60%,2.00%,,,1.80%
Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females(a),,,
Australia,,,,,,,
Australia,"557,174","283,833","344,562","496,445",,,"841,007"
Norfolk Island and Australian External Territories,15,20,14,21,,,35
Oceania and Antarctica,,,,,,,
Adélie Land (France),17,14,9,22,,,31
Australian Antartic Territory,28,22,22,28,,,50
Cook Islands,37,32,31,38,,,69
Fiji,"1,584","1,372","1,153","1,803",,,"2,956"
French Polynesia,12,12,10,14,,,24
Nauru,20,13,11,22,,,33
New Caledonia,48,21,34,35,,,69
New Zealand,"11,197","7,319","7,402","11,114",,,"18,516"
Papua New Guinea,722,677,494,905,,,"1,399"
Samoa,170,147,109,208,,,317
"Samoa, American",9,11,9,11,,,20
Solomon Islands,61,36,38,59,,,97
Tonga,108,103,68,143,,,211
Vanuatu,26,23,21,28,,,49
Countries with fewer than 20 students,52,29,38,43,,,81
North-West Europe,,,,,,,
Austria,170,148,124,194,,,318
Belgium,159,89,105,143,,,248
Channel Islands,10,42,16,36,,,52
Denmark,144,101,87,158,,,245
England,"11,469","7,405","7,801","11,073",,,"18,874"
Finland,93,85,36,142,,,178
France,638,421,438,621,,,"1,059"
Germany,"1,572","1,125","1,040","1,657",,,"2,697"
Iceland,14,9,6,17,,,23
Ireland,938,"1,141",788,"1,291",,,"2,079"
Isle of Man,13,18,15,16,,,31
Jersey,25,10,13,22,,,35
Netherlands,578,457,413,622,,,"1,035"
Northern Ireland,189,199,151,237,,,388
Norway,112,57,61,108,,,169
Scotland,"1,176",846,803,"1,219",,,"2,022"
Sweden,274,177,139,312,,,451
Switzerland,370,232,251,351,,,602
"United Kingdom, nfd","4,012","4,327","3,490","4,849",,,"8,339"
Wales,426,461,361,526,,,887
Countries with fewer than 20 students,34,14,17,31,,,48
Southern and Eastern Europe,,,,,,,
Albania,75,30,35,70,,,105
Belarus,39,38,33,44,,,77
Bosnia and Herzegovina,540,433,389,584,,,973
Bulgaria,81,72,54,99,,,153
Croatia,342,314,243,413,,,656
Cyprus,88,83,64,107,,,171
Czech Republic,109,93,71,131,,,202
Estonia,30,16,12,34,,,46
Former Yugoslav Republic of Macedonia,277,219,207,289,,,496
Former Yugoslavia not further defined,8,23,16,15,,,31
Greece,563,282,374,471,,,845
Hungary,189,151,153,187,,,340
Italy,578,451,468,561,,,"1,029"
Kosovo,50,21,34,37,,,71
Latvia,23,26,10,39,,,49
Lithuania,33,17,15,35,,,50
Malta,71,69,55,85,,,140
Moldova,30,27,19,38,,,57
Montenegro,26,14,15,25,,,40
Poland,463,553,377,639,,,"1,016"
Portugal,108,133,103,138,,,241
Romania,294,266,204,356,,,560
Russian Federation,803,569,479,893,,,"1,372"
Serbia,530,235,304,461,,,765
Serbia and Montenegro,48,69,49,68,,,117
Slovakia,69,79,54,94,,,148
Slovenia,36,40,38,38,,,76
"South Eastern Europe, nfd",14,27,17,24,,,41
Spain,183,169,142,210,,,352
Ukraine,284,269,185,368,,,553
Countries with fewer than 20 students,14,7,8,13,,,21
North Africa and the Middle East,,,,,,,
Algeria,25,18,19,24,,,43
Bahrain,109,57,86,80,,,166
Egypt,897,716,904,709,,,"1,613"
Gaza Strip and West Bank,26,9,20,15,,,35
Iran,"2,822","1,725","2,093","2,454",,,"4,547"
Iraq,"2,222","1,085","1,393","1,914",,,"3,307"
Israel,410,210,293,327,,,620
Jordan,352,195,282,265,,,547
Kuwait,265,172,222,215,,,437
Lebanon,934,664,724,874,,,"1,598"
Libya,83,67,72,78,,,150
Morocco,34,22,28,28,,,56
Oman,173,55,105,123,,,228
Qatar,64,28,52,40,,,92
Saudi Arabia,631,255,442,444,,,886
South Sudan,568,395,634,329,,,963
Sudan,"1,232",937,"1,168","1,001",,,"2,169"
Syria,382,152,267,267,,,534
Turkey,572,374,419,527,,,946
United Arab Emirates,720,240,472,488,,,960
Yemen,43,10,33,20,,,53
Countries with fewer than 20 students,15,11,16,10,,,26
South-East Asia,,,,,,,
Brunei Darussalam,184,73,128,129,,,257
Burma (Myanmar),614,371,418,567,,,985
Cambodia,376,189,247,318,,,565
East Timor,57,63,48,72,,,120
Indonesia,"1,789",890,"1,238","1,441",,,"2,679"
Laos,45,33,29,49,,,78
Malaysia,"4,483","2,274","3,136","3,621",,,"6,757"
Philippines,"6,953","3,638","4,220","6,371",,,"10,591"
Singapore,"3,254","1,353","2,127","2,480",,,"4,607"
Thailand,"1,364",605,713,"1,256",,,"1,969"
Viet Nam,"2,239","1,429","1,572","2,096",,,"3,668"
Countries with fewer than 20 students,0,0,0,0,,,0
North-East Asia,,,,,,,
China (excludes SARs and Taiwan Province),"12,170","5,424","7,890","9,704",,,"17,594"
"Chinese Asia (includes Mongolia), nfd",27,10,17,20,,,37
Hong Kong (SAR of China),"3,649","1,856","2,836","2,669",,,"5,505"
Japan,"1,061",522,575,"1,008",,,"1,583"
"Korea, Democratic People's Republic of (North)",16,16,14,18,,,32
"Korea, Republic of (South)","4,010","1,885","2,665","3,230",,,"5,895"
Macau (SAR of China),67,33,54,46,,,100
Mongolia,38,22,18,42,,,60
Taiwan,"1,276",635,882,"1,029",,,"1,911"
Countries with fewer than 20 students,< 5,< 5,< 5,< 5,,,< 5
Southern and Central Asia,,,,,,,
Afghanistan,"2,190",893,"1,512","1,571",,,"3,083"
Armenia,25,18,20,23,,,43
Azerbaijan,23,15,18,20,,,38
Bangladesh,"1,442","1,149","1,369","1,222",,,"2,591"
Bhutan,67,41,76,32,,,108
Georgia,12,11,11,12,,,23
India,"10,889","6,750","8,299","9,340",,,"17,639"
Kazakhstan,62,46,30,78,,,108
Kyrgyz Republic,29,16,10,35,,,45
Maldives,28,25,22,31,,,53
Nepal,"2,006",944,"1,348","1,602",,,"2,950"
Pakistan,"2,271","1,279","1,952","1,598",,,"3,550"
Sri Lanka,"3,542","2,345","2,736","3,151",,,"5,887"
Uzbekistan,72,56,46,82,,,128
Countries with fewer than 20 students,np,np,np,np,,,np
Americas,,,,,,,
Argentina,232,201,159,274,,,433
Bermuda,32,7,14,25,,,39
Bolivia,35,27,29,33,,,62
Brazil,512,553,414,651,,,"1,065"
Canada,"1,540","1,257","1,079","1,718",,,"2,797"
Chile,370,431,314,487,,,801
Colombia,494,456,432,518,,,950
Costa Rica,13,9,9,13,,,22
Cuba,16,12,15,13,,,28
Ecuador,48,33,32,49,,,81
El Salvador,148,201,147,202,,,349
Guatemala,17,18,14,21,,,35
Jamaica,5,16,6,15,,,21
Mexico,34,30,21,43,,,64
Nicaragua,150,119,120,149,,,269
Paraguay,15,13,17,11,,,28
Peru,270,306,252,324,,,576
Trinidad and Tobago,28,32,18,42,,,60
United States of America,"3,639","2,016","2,463","3,192",,,"5,655"
Uruguay,64,95,44,115,,,159
Venezuela,136,119,119,136,,,255
Countries with fewer than 20 students,101,72,63,110,,,173
Sub-Saharan Africa,,,,,,,
Botswana,126,59,92,93,,,185
Burundi,134,72,127,79,,,206
Cameroon,24,16,18,22,,,40
Congo,65,41,45,61,,,106
"Congo, Democratic Republic of",385,178,309,254,,,563
Côte d'Ivoire,38,16,27,27,,,54
Eritrea,146,66,89,123,,,212
Ethiopia,532,277,377,432,,,809
Ghana,274,207,218,263,,,481
Guinea,71,24,38,57,,,95
Kenya,"1,017",563,640,940,,,"1,580"
Liberia,200,136,167,169,,,336
Malawi,34,27,25,36,,,61
Mauritius,470,424,403,491,,,894
Mozambique,23,21,19,25,,,44
Namibia,64,34,45,53,,,98
Nigeria,611,427,518,520,,,"1,038"
Rwanda,75,34,48,61,,,109
Seychelles,55,27,36,46,,,82
Sierra Leone,318,205,263,260,,,523
Somalia,366,246,304,308,,,612
South Africa,"8,360","4,399","5,560","7,199",,,"12,759"
"Southern and East Africa, nec",52,34,37,49,,,86
Swaziland,13,7,5,15,,,20
Tanzania,144,99,119,124,,,243
Uganda,223,93,151,165,,,316
Zambia,225,228,178,275,,,453
Zimbabwe,"2,392","1,838","1,815","2,415",,,"4,230"
Countries with fewer than 20 students,107,61,78,90,,,168
No Information,,,,,,,
Overseas Country not known,755,844,752,847,,,"1,599"
No Information,"1,509","1,738","1,426","1,821",,,"3,247"
,,,,,,,
TOTAL,"705,322","376,623","450,145","631,800",,,"1,081,945"
Total 2016,"702,646","363,427","447,721","618,352",,,"1,066,073"
% change on 2016,0.40%,3.60%,0.50%,2.20%,,,1.50%
Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females(a),,,
Australia,,,,,,,
Australia,"554,494","285,319","341,566","498,247",,,"839,813"
Norfolk Island and Australian External Territories,18,20,11,27,,,38
Oceania and Antarctica,,,,,,,
Adélie Land (France),10,12,5,17,,,22
Australian Antartic Territory,47,15,23,39,,,62
Cook Islands,35,45,30,50,,,80
Fiji,"1,489","1,373","1,072","1,790",,,"2,862"
French Polynesia,16,11,10,17,,,27
Kiribati,11,9,6,14,,,20
Nauru,14,11,5,20,,,25
New Caledonia,44,22,29,37,,,66
New Zealand,"11,026","7,264","7,245","11,045",,,"18,290"
Papua New Guinea,702,687,469,920,,,"1,389"
Samoa,164,160,122,202,,,324
"Samoa, American",14,11,10,15,,,25
Solomon Islands,55,46,36,65,,,101
Tonga,95,113,72,136,,,208
Vanuatu,25,31,23,33,,,56
Countries with fewer than 20 students,35,22,27,30,,,57
North-West Europe,,,,,,,
Austria,155,138,115,178,,,293
Belgium,144,103,104,143,,,247
Denmark,145,105,95,155,,,250
England,"11,209","7,284","7,593","10,900",,,"18,493"
Finland,94,93,39,148,,,187
France,616,452,434,634,,,"1,068"
Germany,"1,490","1,102",967,"1,625",,,"2,592"
Ireland,944,"1,137",794,"1,287",,,"2,081"
Isle of Man,22,9,14,17,,,31
Jersey,28,12,16,24,,,40
Netherlands,611,448,431,628,,,"1,059"
Northern Ireland,182,192,151,223,,,374
Norway,115,63,64,114,,,178
Scotland,"1,177",855,809,"1,223",,,"2,032"
Sweden,253,184,131,306,,,437
Switzerland,354,208,221,341,,,562
"United Kingdom, Channel Islands and Isle of Man, nfd","3,928","4,255","3,400","4,783",,,"8,183"
Wales,427,476,358,545,,,903
Countries with fewer than 20 students,46,19,29,36,,,65
Southern and Eastern Europe,,,,,,,
Albania,70,30,31,69,,,100
Belarus,33,38,30,41,,,71
Bosnia and Herzegovina,432,407,291,548,,,839
Bulgaria,76,76,51,101,,,152
Croatia,280,286,202,364,,,566
Cyprus,83,65,57,91,,,148
Czechia,97,122,77,142,,,219
Estonia,26,21,13,34,,,47
"Former Yugoslavia, nfd",9,17,10,16,,,26
Greece,551,315,385,481,,,866
Hungary,171,171,144,198,,,342
Italy,561,444,456,549,,,"1,005"
Kosovo,45,15,24,36,,,60
Latvia,29,32,12,49,,,61
Lithuania,28,21,12,37,,,49
Malta,78,78,60,96,,,156
Moldova,28,26,20,34,,,54
Montenegro,23,13,16,20,,,36
North Macedonia,255,209,195,269,,,464
Poland,431,504,353,582,,,935
Portugal,114,127,101,140,,,241
Romania,303,238,198,343,,,541
Russian Federation,748,613,492,869,,,"1,361"
Serbia,477,246,290,433,,,723
Slovakia,65,76,45,96,,,141
Slovenia,36,33,32,37,,,69
"South Eastern Europe, nfd",71,72,57,86,,,143
Spain,188,165,151,202,,,353
Ukraine,263,241,166,338,,,504
Countries with fewer than 20 students,14,11,10,15,,,25
North Africa and the Middle East,,,,,,,
Algeria,16,22,14,24,,,38
Bahrain,104,60,81,83,,,164
Egypt,993,706,925,774,,,"1,699"
Gaza Strip and West Bank,33,12,22,23,,,45
Iran,"2,766","1,817","1,999","2,584",,,"4,583"
Iraq,"2,296","1,145","1,398","2,043",,,"3,441"
Israel,389,235,301,323,,,624
Jordan,338,200,269,269,,,538
Kuwait,258,165,231,192,,,423
Lebanon,928,675,717,886,,,"1,603"
Libya,83,67,70,80,,,150
Morocco,29,27,29,27,,,56
Oman,168,60,99,129,,,228
Qatar,70,24,47,47,,,94
Saudi Arabia,651,271,445,477,,,922
South Sudan,561,454,647,368,,,"1,015"
Sudan,"1,185",914,"1,092","1,007",,,"2,099"
Syria,510,213,344,379,,,723
Turkey,560,363,391,532,,,923
United Arab Emirates,761,242,490,513,,,"1,003"
Yemen,54,21,41,34,,,75
Countries with fewer than 20 students,8,15,14,9,,,23
South-East Asia,,,,,,,
Brunei Darussalam,184,73,128,129,,,257
Cambodia,364,195,253,306,,,559
Indonesia,"1,750",923,"1,223","1,450",,,"2,673"
Laos,43,38,33,48,,,81
Malaysia,"4,547","2,326","3,176","3,697",,,"6,873"
Myanmar,632,378,407,603,,,"1,010"
Philippines,"7,329","4,076","4,558","6,847",,,"11,405"
Singapore,"3,307","1,398","2,181","2,524",,,"4,705"
Thailand,"1,377",634,730,"1,281",,,"2,011"
Timor-Leste,54,50,42,62,,,104
Vietnam,"2,303","1,465","1,580","2,188",,,"3,768"
North-East Asia,,,,,,,
China (excludes SARs and Taiwan),"12,165","5,649","7,875","9,939",,,"17,814"
"Chinese Asia (includes Mongolia), nfd",22,11,17,16,,,33
Hong Kong (SAR of China),"3,513","1,837","2,718","2,632",,,"5,350"
Japan,"1,055",519,581,993,,,"1,574"
"Korea, Democratic People's Republic of (North)",15,15,9,21,,,30
"Korea, Republic of (South)","3,997","1,823","2,607","3,213",,,"5,820"
Macau (SAR of China),67,36,51,52,,,103
Mongolia,41,18,22,37,,,59
Taiwan,"1,153",625,816,962,,,"1,778"
Countries with fewer than 20 students,0,< 5,0,< 5,,,< 5
Southern and Central Asia,,,,,,,
Afghanistan,"2,147",981,"1,451","1,677",,,"3,128"
Armenia,18,19,16,21,,,37
Azerbaijan,21,12,17,16,,,33
Bangladesh,"1,372","1,159","1,299","1,232",,,"2,531"
Bhutan,64,47,69,42,,,111
Georgia,16,10,12,14,,,26
India,"11,525","7,265","8,605","10,185",,,"18,790"
Kazakhstan,73,46,36,83,,,119
Kyrgyzstan,25,22,9,38,,,47
Maldives,33,25,24,34,,,58
Nepal,"2,123","1,015","1,334","1,804",,,"3,138"
Pakistan,"2,356","1,379","2,025","1,710",,,"3,735"
Sri Lanka,"3,602","2,242","2,746","3,098",,,"5,844"
Uzbekistan,68,52,44,76,,,120
Countries with fewer than 20 students,16,6,6,16,,,22
Americas,,,,,,,
Argentina,218,217,164,271,,,435
Bermuda,35,10,18,27,,,45
Bolivia,39,24,24,39,,,63
Brazil,523,574,413,684,,,"1,097"
Canada,"1,473","1,180","1,024","1,629",,,"2,653"
Chile,366,389,299,456,,,755
Colombia,457,463,413,507,,,920
Costa Rica,9,13,6,16,,,22
Cuba,12,16,12,16,,,28
Ecuador,53,37,39,51,,,90
El Salvador,127,198,139,186,,,325
Guatemala,22,17,17,22,,,39
Guyana,10,16,8,18,,,26
Jamaica,29,30,23,36,,,59
Mexico,136,110,107,139,,,246
Nicaragua,10,19,18,11,,,29
Peru,242,295,226,311,,,537
Trinidad and Tobago,35,35,25,45,,,70
United States of America,"3,656","2,035","2,451","3,240",,,"5,691"
Uruguay,54,91,47,98,,,145
Venezuela,137,99,108,128,,,236
Countries with fewer than 20 students,90,80,70,100,,,170
Sub-Saharan Africa,,,,,,,
Botswana,134,57,89,102,,,191
Burundi,118,84,118,84,,,202
Cameroon,24,18,18,24,,,42
"Congo, Democratic Republic of",386,196,318,264,,,582
"Congo, Republic of",68,33,40,61,,,101
Côte d'Ivoire,50,18,34,34,,,68
Djibouti,17,< 5,11,np,,,np
Eritrea,147,75,100,122,,,222
Eswatini,7,15,6,16,,,22
Ethiopia,562,308,409,461,,,870
Ghana,304,197,212,289,,,501
Guinea,79,37,41,75,,,116
Kenya,"1,019",579,643,955,,,"1,598"
Liberia,198,164,183,179,,,362
Malawi,35,30,24,41,,,65
Mauritius,481,434,396,519,,,915
Mozambique,22,17,18,21,,,39
Namibia,64,35,42,57,,,99
Nigeria,633,487,530,590,,,"1,120"
Rwanda,69,38,48,59,,,107
Seychelles,46,32,38,40,,,78
Sierra Leone,270,215,239,246,,,485
Somalia,326,255,288,293,,,581
South Africa,"8,211","4,582","5,528","7,265",,,"12,793"
"Southern and East Africa, nec",46,30,35,41,,,76
Tanzania,175,101,127,149,,,276
Togo,12,8,7,13,,,20
Uganda,221,115,156,180,,,336
Zambia,190,243,166,267,,,433
Zimbabwe,"2,355","1,877","1,813","2,419",,,"4,232"
Countries with fewer than 20 students,67,63,64,66,,,130
No Information,,,,,,,
Overseas Country not known,"1,435","1,388","1,151","1,672",,,"2,823"
No Information,992,"1,301","1,033","1,260",,,"2,293"
,,,,,,,
TOTAL,"702,453","380,080","446,449","636,084",,,"1,082,533"
Total 2017,"705,322","376,623","450,145","631,800",,,"1,081,945"
% change on 2017,-0.40%,0.90%,-0.80%,0.70%,,,0.10%
Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females(a),,,
Australia,,,,,,,
Australia,"552,066","287,809","339,380","500,495",,,"839,875"
Norfolk Island and Australian External Territories,21,20,15,26,,,41
Oceania and Antarctica,,,,,,,
Australian Antartic Territory,50,22,22,50,,,72
Cook Islands,30,36,21,45,,,66
Fiji,"1,412","1,318","1,013","1,717",,,"2,730"
French Polynesia,17,6,8,15,,,23
Kiribati,12,8,6,14,,,20
Nauru,np,np,< 5,np,,,np
New Caledonia,42,25,26,41,,,67
New Zealand,"11,016","7,245","7,123","11,138",,,"18,261"
Papua New Guinea,694,709,460,943,,,"1,403"
Samoa,146,156,119,183,,,302
"Samoa, American",9,15,9,15,,,24
Solomon Islands,64,40,35,69,,,104
Tonga,87,113,67,133,,,200
Vanuatu,24,19,18,25,,,43
Countries with fewer than 20 students,44,33,35,42,,,77
North-West Europe,,,,,,,
Austria,150,141,110,181,,,291
Belgium,163,92,116,139,,,255
Denmark,144,103,88,159,,,247
England,"11,233","7,205","7,486","10,952",,,"18,438"
Finland,84,91,34,141,,,175
France,628,417,416,629,,,"1,045"
Germany,"1,354","1,070",908,"1,516",,,"2,424"
Ireland,995,"1,123",816,"1,302",,,"2,118"
Isle of Man,18,11,11,18,,,29
Jersey,25,10,12,23,,,35
Netherlands,564,454,413,605,,,"1,018"
Northern Ireland,178,193,141,230,,,371
Norway,97,51,51,97,,,148
Scotland,"1,210",774,811,"1,173",,,"1,984"
Sweden,251,177,133,295,,,428
Switzerland,348,213,227,334,,,561
"United Kingdom, Channel Islands and Isle of Man, nfd","3,947","4,139","3,311","4,775",,,"8,086"
Wales,425,497,371,551,,,922
Countries with fewer than 20 students,44,16,25,35,,,60
Southern and Eastern Europe,,,,,,,
Albania,61,38,32,67,,,99
Belarus,40,38,32,46,,,78
Bosnia and Herzegovina,383,361,269,475,,,744
Bulgaria,79,69,51,97,,,148
Croatia,237,278,173,342,,,515
Cyprus,72,70,60,82,,,142
Czechia,78,128,60,146,,,206
Estonia,26,23,12,37,,,49
"Former Yugoslavia, nfd",7,14,10,11,,,21
Greece,569,340,390,519,,,909
Hungary,172,164,138,198,,,336
Italy,585,397,449,533,,,982
Kosovo,37,19,23,33,,,56
Latvia,27,18,8,37,,,45
Lithuania,24,18,11,31,,,42
Malta,66,66,49,83,,,132
Moldova,27,30,17,40,,,57
Montenegro,21,15,14,22,,,36
North Macedonia,263,195,188,270,,,458
Poland,418,481,317,582,,,899
Portugal,116,122,93,145,,,238
Romania,298,247,199,346,,,545
Russian Federation,755,568,472,851,,,"1,323"
Serbia,422,232,266,388,,,654
Slovakia,46,75,41,80,,,121
Slovenia,44,39,39,44,,,83
"South Eastern Europe, nfd",33,70,40,63,,,103
Spain,194,157,148,203,,,351
Ukraine,245,255,162,338,,,500
Countries with fewer than 20 students,14,13,12,15,,,27
North Africa and the Middle East,,,,,,,
Algeria,23,18,17,24,,,41
Bahrain,113,65,92,86,,,178
Egypt,977,718,896,799,,,"1,695"
Gaza Strip and West Bank,37,18,28,27,,,55
Iran,"2,577","1,905","1,945","2,537",,,"4,482"
Iraq,"2,353","1,106","1,377","2,082",,,"3,459"
Israel,421,227,330,318,,,648
Jordan,341,201,271,271,,,542
Kuwait,251,176,220,207,,,427
Lebanon,896,649,687,858,,,"1,545"
Libya,87,59,65,81,,,146
Morocco,26,25,22,29,,,51
Oman,177,59,99,137,,,236
Qatar,82,19,52,49,,,101
Saudi Arabia,683,311,468,526,,,994
South Sudan,538,496,645,389,,,"1,034"
Sudan,"1,119",887,985,"1,021",,,"2,006"
Syria,665,278,423,520,,,943
Turkey,516,396,382,530,,,912
United Arab Emirates,864,273,540,597,,,"1,137"
Yemen,46,19,35,30,,,65
Countries with fewer than 20 students,9,13,np,np,,,22
South-East Asia,,,,,,,
Brunei Darussalam,163,68,118,113,,,231
Cambodia,371,177,240,308,,,548
Indonesia,"1,718",916,"1,173","1,461",,,"2,634"
Laos,49,40,39,50,,,89
Malaysia,"4,542","2,300","3,157","3,685",,,"6,842"
Myanmar,613,459,465,607,,,"1,072"
Philippines,"7,837","4,246","4,799","7,284",,,"12,083"
Singapore,"3,262","1,373","2,167","2,468",,,"4,635"
Thailand,"1,463",638,739,"1,362",,,"2,101"
Timor-Leste,48,43,35,56,,,91
Vietnam,"2,394","1,454","1,585","2,263",,,"3,848"
North-East Asia,,,,,,,
China (excludes SARs and Taiwan),"12,729","6,028","8,288","10,469",,,"18,757"
"Chinese Asia (includes Mongolia), nfd",18,9,13,14,,,27
Hong Kong (SAR of China),"3,440","1,797","2,665","2,572",,,"5,237"
Japan,"1,112",518,616,"1,014",,,"1,630"
"Korea, Democratic People's Republic of (North)",19,23,11,31,,,42
"Korea, Republic of (South)","4,046","1,876","2,623","3,299",,,"5,922"
Macau (SAR of China),60,37,47,50,,,97
Mongolia,38,28,25,41,,,66
Taiwan,"1,129",595,763,961,,,"1,724"
Countries with fewer than 20 students,< 5,< 5,0,< 5,,,< 5
Southern and Central Asia,,,,,,,
Afghanistan,"2,179",980,"1,369","1,790",,,"3,159"
Armenia,19,19,16,22,,,38
Azerbaijan,17,17,16,18,,,34
Bangladesh,"1,424","1,112","1,301","1,235",,,"2,536"
Bhutan,75,45,69,51,,,120
Georgia,12,10,9,13,,,22
India,"12,504","7,412","9,026","10,890",,,"19,916"
Kazakhstan,71,53,45,79,,,124
Kyrgyzstan,20,15,7,28,,,35
Maldives,33,25,22,36,,,58
Nepal,"2,291","1,098","1,397","1,992",,,"3,389"
